# aip_tip_1480618933.out
#
# Format: <prover> <axiom type> <tip file> <status> <computation time in seconds>
#
# The status column indicates whether a proof was found:
# Success indicates a proof was found.
# Failure indicates that the problem (with induction axioms) does not admit a proof.
# Error indicates abnormal termination.
#
# The TIP problems which are not listed below either terminated abnormally or
# reached the timeout (300 s).

eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3acc_rot.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_SelectPermutations'.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_add3acc_assoc2.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/tree_sort_AddSame.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Permutes.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_ISortPermutes.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Sorts.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/regexp_RecPlus.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_eq_sym.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_mul3acc_assoc1.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_mul3_rrot.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/int_mul_comm.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_mul3acc_comm12.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_return_1.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_eq_refl.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_z_elem_map.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/weird_nat_op_assoc2.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/list_z_deleteAll_count.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/int_add_ident_left.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/nat_boring_ge_antisym.smt2 error -1
eprover sequential ./../benchmarks/benchmarks/tip2015/sort_StoogeSort2Count.smt2 error -1
